,elections,happy,location_0,location_1,location_2,location_3,location_total,seg_agents,total_0,total_1,total_2,total_3,run,cnt
31,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",348,"[6, 16, 95, 14, 12, 71, 5, 17, 20]","[65, 41, 3, 16, 17, 9, 72, 15, 9]","[10, 12, 4, 12, 22, 11, 9, 25, 25]","[9, 14, 5, 17, 22, 6, 11, 30, 10]","[90, 83, 107, 59, 73, 97, 97, 87, 64]",196,256,247,130,124,1,UK
32,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",364,"[11, 6, 96, 16, 19, 74, 6, 9, 19]","[62, 41, 8, 16, 13, 10, 72, 11, 14]","[12, 9, 1, 16, 19, 5, 9, 33, 26]","[7, 15, 6, 19, 19, 8, 7, 27, 16]","[92, 71, 111, 67, 70, 97, 94, 80, 75]",219,256,247,130,124,1,UK
33,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",356,"[7, 10, 94, 15, 16, 80, 6, 12, 16]","[70, 50, 1, 12, 16, 2, 74, 10, 12]","[7, 12, 8, 12, 18, 10, 6, 32, 25]","[8, 15, 4, 19, 18, 6, 12, 25, 17]","[92, 87, 107, 58, 68, 98, 98, 79, 70]",207,256,247,130,124,1,UK
34,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",354,"[8, 8, 93, 18, 17, 75, 7, 10, 20]","[66, 43, 2, 18, 14, 5, 75, 11, 13]","[11, 18, 6, 18, 16, 9, 6, 26, 20]","[10, 17, 4, 26, 15, 9, 9, 18, 16]","[95, 86, 105, 80, 62, 98, 97, 65, 69]",205,256,247,130,124,1,UK
35,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",353,"[10, 14, 95, 16, 19, 70, 6, 15, 11]","[68, 44, 4, 19, 7, 10, 69, 10, 16]","[9, 9, 7, 16, 11, 13, 9, 37, 19]","[9, 11, 4, 11, 27, 9, 8, 23, 22]","[96, 78, 110, 62, 64, 102, 92, 85, 68]",209,256,247,130,124,1,UK
36,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",363,"[4, 12, 99, 17, 16, 74, 8, 9, 17]","[68, 39, 5, 17, 11, 7, 74, 10, 16]","[13, 16, 1, 16, 20, 5, 3, 35, 21]","[9, 15, 2, 18, 22, 6, 14, 21, 17]","[94, 82, 107, 68, 69, 92, 99, 75, 71]",235,256,247,130,124,1,UK
37,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",361,"[5, 9, 98, 9, 24, 76, 12, 7, 16]","[68, 36, 6, 15, 19, 5, 74, 13, 11]","[12, 15, 1, 18, 14, 7, 7, 35, 21]","[8, 18, 3, 21, 19, 10, 8, 23, 14]","[93, 78, 108, 63, 76, 98, 101, 78, 62]",226,256,247,130,124,1,UK
38,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",375,"[10, 4, 104, 16, 18, 70, 6, 15, 13]","[66, 43, 2, 10, 14, 4, 78, 12, 18]","[6, 14, 1, 13, 19, 10, 3, 37, 27]","[7, 18, 3, 16, 17, 14, 6, 23, 20]","[89, 79, 110, 55, 68, 98, 93, 87, 78]",249,256,247,130,124,1,UK
39,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",391,"[6, 11, 103, 18, 16, 77, 4, 8, 13]","[73, 44, 1, 11, 13, 9, 74, 8, 14]","[6, 8, 2, 19, 19, 13, 2, 35, 26]","[7, 11, 5, 22, 18, 4, 11, 23, 23]","[92, 74, 111, 70, 66, 103, 91, 74, 76]",242,256,247,130,124,1,UK
40,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",387,"[9, 13, 105, 19, 18, 68, 4, 9, 11]","[73, 39, 1, 12, 16, 12, 78, 9, 7]","[2, 12, 2, 20, 15, 7, 7, 39, 26]","[6, 15, 5, 17, 23, 5, 8, 21, 24]","[90, 79, 113, 68, 72, 92, 97, 78, 68]",249,256,247,130,124,1,UK
