,elections,happy,location_0,location_1,location_2,location_3,location_total,seg_agents,total_0,total_1,total_2,total_3,run,cnt
63,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",497,"[5, 2, 112, 13, 8, 10, 92, 7, 21]","[77, 117, 0, 14, 11, 17, 8, 3, 10]","[12, 0, 1, 14, 36, 21, 1, 11, 14]","[7, 0, 0, 8, 13, 15, 2, 72, 17]","[101, 119, 113, 49, 68, 63, 103, 93, 62]",354,270,257,110,134,12,UK
64,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",502,"[5, 0, 114, 10, 14, 8, 92, 4, 23]","[77, 118, 2, 14, 11, 10, 2, 10, 13]","[5, 2, 1, 17, 36, 19, 1, 11, 18]","[3, 0, 1, 18, 11, 22, 4, 65, 10]","[90, 120, 118, 59, 72, 59, 99, 90, 64]",345,270,257,110,134,12,UK
65,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",501,"[5, 0, 113, 14, 11, 12, 93, 9, 13]","[77, 119, 3, 7, 9, 18, 2, 8, 14]","[5, 0, 0, 20, 34, 17, 6, 14, 14]","[10, 0, 2, 10, 6, 13, 5, 69, 19]","[97, 119, 118, 51, 60, 60, 106, 100, 60]",365,270,257,110,134,12,UK
66,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",497,"[3, 0, 114, 19, 12, 10, 91, 5, 16]","[78, 118, 0, 12, 13, 9, 5, 5, 17]","[6, 0, 2, 16, 37, 18, 6, 10, 15]","[7, 1, 1, 14, 12, 12, 3, 70, 14]","[94, 119, 117, 61, 74, 49, 105, 90, 62]",347,270,257,110,134,12,UK
67,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",502,"[6, 0, 112, 13, 10, 14, 92, 9, 14]","[79, 119, 1, 16, 7, 13, 7, 3, 12]","[4, 1, 2, 13, 45, 21, 3, 11, 10]","[11, 0, 1, 14, 6, 15, 2, 69, 16]","[100, 120, 116, 56, 68, 63, 104, 92, 52]",386,270,257,110,134,12,UK
68,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",509,"[8, 0, 114, 12, 8, 13, 97, 4, 14]","[78, 119, 1, 16, 12, 11, 6, 3, 11]","[2, 0, 1, 17, 43, 13, 4, 15, 15]","[6, 1, 1, 10, 6, 13, 2, 76, 19]","[94, 120, 117, 55, 69, 50, 109, 98, 59]",351,270,257,110,134,12,UK
69,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",517,"[9, 0, 113, 13, 4, 13, 95, 4, 19]","[80, 118, 1, 19, 9, 10, 1, 6, 13]","[5, 0, 1, 16, 40, 17, 2, 16, 13]","[6, 2, 0, 13, 12, 15, 3, 72, 11]","[100, 120, 115, 61, 65, 55, 101, 98, 56]",373,270,257,110,134,12,UK
70,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",516,"[5, 0, 112, 9, 14, 13, 96, 4, 17]","[81, 118, 3, 10, 15, 9, 1, 8, 12]","[7, 0, 2, 16, 36, 18, 2, 13, 16]","[4, 0, 1, 11, 8, 11, 4, 78, 17]","[97, 118, 118, 46, 73, 51, 103, 103, 62]",373,270,257,110,134,12,UK
71,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",514,"[4, 0, 113, 11, 10, 14, 96, 6, 16]","[85, 119, 1, 10, 11, 14, 4, 4, 9]","[3, 0, 1, 21, 37, 18, 2, 14, 14]","[5, 2, 0, 13, 9, 12, 4, 74, 15]","[97, 121, 115, 55, 67, 58, 106, 98, 54]",368,270,257,110,134,12,UK
72,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",512,"[6, 0, 112, 17, 7, 11, 95, 6, 16]","[82, 118, 3, 11, 10, 17, 3, 3, 10]","[5, 0, 2, 19, 39, 17, 3, 12, 13]","[3, 0, 0, 12, 13, 13, 6, 73, 14]","[96, 118, 117, 59, 69, 58, 107, 94, 53]",387,270,257,110,134,12,UK
73,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",515,"[6, 1, 114, 15, 7, 9, 95, 4, 19]","[83, 118, 1, 16, 9, 8, 1, 7, 14]","[4, 2, 1, 11, 41, 17, 5, 16, 13]","[5, 0, 1, 13, 10, 10, 1, 79, 15]","[98, 121, 117, 55, 67, 44, 102, 106, 61]",373,270,257,110,134,12,UK
74,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",530,"[4, 2, 114, 10, 11, 11, 94, 4, 20]","[84, 118, 2, 16, 11, 9, 1, 3, 13]","[4, 0, 0, 15, 41, 18, 6, 13, 13]","[3, 0, 0, 12, 10, 16, 4, 80, 9]","[95, 120, 116, 53, 73, 54, 105, 100, 55]",394,270,257,110,134,12,UK
75,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",530,"[6, 0, 116, 7, 11, 20, 95, 0, 15]","[85, 118, 0, 13, 7, 9, 2, 6, 17]","[6, 0, 0, 16, 42, 10, 1, 15, 20]","[8, 0, 0, 6, 9, 12, 4, 79, 16]","[105, 118, 116, 42, 69, 51, 102, 100, 68]",399,270,257,110,134,12,UK
76,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",540,"[4, 0, 114, 10, 9, 12, 96, 2, 23]","[83, 118, 1, 10, 10, 20, 2, 2, 11]","[6, 0, 2, 10, 41, 17, 2, 17, 15]","[3, 0, 0, 18, 11, 12, 2, 80, 8]","[96, 118, 117, 48, 71, 61, 102, 101, 57]",412,270,257,110,134,12,UK
77,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",532,"[6, 0, 116, 13, 7, 11, 97, 3, 17]","[85, 119, 1, 13, 11, 11, 3, 2, 12]","[5, 1, 0, 10, 42, 12, 4, 18, 18]","[8, 0, 0, 14, 7, 10, 1, 78, 16]","[104, 120, 117, 50, 67, 44, 105, 101, 63]",388,270,257,110,134,12,UK
78,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",536,"[5, 0, 114, 12, 12, 9, 98, 4, 16]","[86, 119, 0, 13, 10, 13, 2, 4, 10]","[3, 0, 0, 17, 36, 17, 3, 15, 19]","[2, 2, 2, 7, 10, 15, 3, 80, 13]","[96, 121, 116, 49, 68, 54, 106, 103, 58]",393,270,257,110,134,12,UK
79,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",535,"[7, 0, 114, 10, 10, 13, 97, 3, 16]","[89, 119, 1, 7, 8, 11, 3, 3, 16]","[2, 0, 1, 27, 39, 17, 2, 14, 8]","[3, 1, 2, 11, 9, 12, 1, 85, 10]","[101, 120, 118, 55, 66, 53, 103, 105, 50]",397,270,257,110,134,12,UK
80,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",542,"[8, 0, 113, 17, 8, 9, 96, 3, 16]","[88, 118, 0, 10, 8, 12, 3, 5, 13]","[3, 0, 1, 16, 42, 12, 2, 16, 18]","[2, 0, 1, 11, 11, 12, 3, 82, 12]","[101, 118, 115, 54, 69, 45, 104, 106, 59]",386,270,257,110,134,12,UK
81,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",538,"[4, 1, 116, 14, 8, 11, 99, 1, 16]","[90, 118, 0, 14, 13, 7, 2, 3, 10]","[1, 0, 1, 18, 37, 21, 3, 17, 12]","[3, 1, 1, 9, 13, 11, 2, 81, 13]","[98, 120, 118, 55, 71, 50, 106, 102, 51]",408,270,257,110,134,12,UK
82,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",545,"[3, 0, 115, 11, 8, 10, 101, 4, 18]","[90, 119, 0, 11, 6, 18, 0, 2, 11]","[4, 1, 0, 13, 39, 24, 2, 18, 9]","[3, 0, 0, 12, 14, 10, 5, 79, 11]","[100, 120, 115, 47, 67, 62, 108, 103, 49]",384,270,257,110,134,12,UK
83,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",544,"[8, 0, 114, 14, 7, 13, 101, 2, 11]","[91, 118, 0, 12, 9, 9, 0, 3, 15]","[4, 1, 0, 15, 39, 18, 2, 15, 16]","[1, 0, 3, 10, 12, 12, 1, 84, 11]","[104, 119, 117, 51, 67, 52, 104, 104, 53]",397,270,257,110,134,12,UK
84,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",548,"[7, 0, 113, 11, 10, 9, 97, 4, 19]","[88, 118, 1, 12, 8, 9, 1, 5, 15]","[2, 0, 0, 20, 44, 12, 2, 18, 12]","[5, 0, 1, 8, 12, 13, 5, 81, 9]","[102, 118, 115, 51, 74, 43, 105, 108, 55]",407,270,257,110,134,12,UK
85,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",553,"[5, 0, 115, 10, 14, 13, 95, 3, 15]","[90, 118, 0, 14, 6, 10, 3, 4, 12]","[4, 0, 1, 22, 42, 11, 2, 14, 14]","[3, 2, 1, 13, 9, 8, 3, 82, 13]","[102, 120, 117, 59, 71, 42, 103, 103, 54]",413,270,257,110,134,12,UK
86,"[1, 1, 0, 2, 2, 2, 0, 2, 0]",557,"[4, 1, 114, 13, 9, 13, 94, 3, 19]","[93, 118, 0, 11, 7, 8, 4, 3, 13]","[3, 0, 2, 17, 42, 16, 5, 16, 9]","[5, 0, 0, 14, 10, 10, 4, 81, 10]","[105, 119, 116, 55, 68, 47, 107, 103, 51]",404,270,257,110,134,12,UK
87,"[1, 1, 0, 2, 2, 2, 0, 2, 0]",545,"[5, 0, 114, 13, 8, 8, 95, 5, 22]","[90, 118, 0, 10, 10, 11, 3, 1, 14]","[7, 1, 2, 12, 41, 15, 5, 17, 10]","[2, 1, 1, 12, 6, 18, 3, 81, 10]","[104, 120, 117, 47, 65, 52, 106, 104, 56]",401,270,257,110,134,12,UK
88,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",549,"[5, 0, 114, 16, 11, 10, 94, 2, 18]","[90, 119, 1, 12, 5, 15, 3, 3, 9]","[3, 1, 1, 9, 46, 16, 3, 15, 16]","[4, 0, 1, 12, 6, 16, 2, 82, 11]","[102, 120, 117, 49, 68, 57, 102, 102, 54]",408,270,257,110,134,12,UK
89,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",549,"[8, 0, 114, 13, 8, 11, 97, 1, 18]","[89, 119, 2, 11, 10, 13, 4, 4, 5]","[7, 0, 1, 10, 40, 15, 5, 18, 14]","[2, 1, 1, 7, 9, 12, 3, 84, 15]","[106, 120, 118, 41, 67, 51, 109, 107, 52]",390,270,257,110,134,12,UK
90,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",552,"[3, 0, 113, 19, 12, 9, 98, 0, 16]","[91, 120, 1, 10, 10, 9, 1, 2, 13]","[2, 1, 0, 13, 46, 16, 2, 17, 13]","[2, 0, 2, 14, 11, 11, 2, 82, 10]","[98, 121, 116, 56, 79, 45, 103, 101, 52]",416,270,257,110,134,12,UK
91,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",553,"[5, 1, 115, 13, 5, 12, 102, 2, 15]","[90, 119, 0, 17, 8, 8, 2, 1, 12]","[2, 0, 0, 12, 42, 21, 1, 19, 13]","[2, 0, 1, 11, 10, 11, 5, 85, 9]","[99, 120, 116, 53, 65, 52, 110, 107, 49]",425,270,257,110,134,12,UK
92,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",555,"[6, 0, 115, 11, 5, 10, 100, 2, 21]","[90, 119, 0, 10, 6, 15, 4, 2, 11]","[8, 0, 0, 11, 43, 16, 4, 17, 11]","[2, 0, 2, 8, 8, 14, 1, 87, 12]","[106, 119, 117, 40, 62, 55, 109, 108, 55]",408,270,257,110,134,12,UK
93,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",555,"[4, 1, 116, 11, 6, 8, 98, 2, 24]","[93, 119, 0, 14, 11, 8, 2, 1, 9]","[3, 0, 1, 11, 42, 14, 5, 15, 19]","[3, 0, 1, 11, 10, 11, 4, 83, 11]","[103, 120, 118, 47, 69, 41, 109, 101, 63]",424,270,257,110,134,12,UK
94,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",557,"[6, 1, 115, 13, 13, 9, 97, 3, 13]","[95, 119, 0, 12, 7, 10, 4, 2, 8]","[4, 0, 2, 20, 39, 15, 4, 14, 12]","[2, 1, 0, 16, 8, 6, 1, 86, 14]","[107, 121, 117, 61, 67, 40, 106, 105, 47]",408,270,257,110,134,12,UK
95,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",556,"[5, 0, 115, 10, 8, 17, 97, 3, 15]","[92, 120, 0, 16, 9, 7, 1, 1, 11]","[2, 0, 1, 12, 45, 17, 2, 15, 16]","[7, 0, 1, 6, 8, 15, 2, 82, 13]","[106, 120, 117, 44, 70, 56, 102, 101, 55]",420,270,257,110,134,12,UK
96,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",556,"[4, 1, 115, 13, 6, 17, 97, 2, 15]","[92, 119, 1, 9, 8, 13, 1, 6, 8]","[8, 0, 0, 9, 49, 10, 4, 14, 16]","[0, 0, 1, 18, 9, 8, 4, 85, 9]","[104, 120, 117, 49, 72, 48, 106, 107, 48]",415,270,257,110,134,12,UK
97,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",560,"[3, 1, 115, 9, 10, 13, 100, 3, 16]","[92, 119, 1, 9, 6, 10, 2, 4, 14]","[8, 0, 1, 12, 44, 14, 3, 13, 15]","[1, 0, 1, 16, 5, 13, 3, 84, 11]","[104, 120, 118, 46, 65, 50, 108, 104, 56]",404,270,257,110,134,12,UK
98,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",564,"[3, 1, 116, 12, 13, 9, 98, 3, 15]","[95, 119, 1, 7, 5, 14, 2, 2, 12]","[3, 1, 0, 16, 45, 17, 2, 14, 12]","[1, 0, 0, 7, 8, 18, 3, 84, 13]","[102, 121, 117, 42, 71, 58, 105, 103, 52]",427,270,257,110,134,12,UK
99,"[1, 1, 0, 2, 2, 2, 0, 2, 2]",569,"[2, 0, 116, 13, 7, 16, 100, 3, 13]","[95, 119, 0, 7, 10, 12, 3, 2, 9]","[2, 1, 0, 18, 42, 14, 4, 16, 13]","[1, 0, 1, 11, 9, 14, 0, 87, 11]","[100, 120, 117, 49, 68, 56, 107, 108, 46]",425,270,257,110,134,12,UK
0,"[0, 2, 0, 1, 1, 1, 2, 1, 2]",42,"[40, 29, 33, 28, 25, 25, 24, 31, 28]","[25, 24, 27, 30, 32, 37, 29, 32, 21]","[13, 20, 13, 12, 11, 13, 12, 13, 16]","[11, 14, 17, 15, 13, 11, 19, 17, 15]","[89, 87, 90, 85, 81, 86, 84, 93, 80]",6,263,257,123,132,13,UK
1,"[0, 2, 2, 1, 0, 2, 2, 0, 0]",56,"[39, 23, 31, 27, 34, 27, 21, 32, 29]","[30, 29, 25, 33, 30, 31, 25, 31, 23]","[6, 17, 12, 17, 12, 16, 18, 8, 17]","[11, 16, 20, 6, 14, 18, 20, 15, 12]","[86, 85, 88, 83, 90, 92, 84, 86, 81]",12,263,257,123,132,13,UK
2,"[0, 0, 2, 1, 0, 1, 2, 0, 1]",63,"[38, 31, 24, 25, 31, 27, 28, 34, 25]","[35, 27, 22, 36, 27, 31, 27, 24, 28]","[10, 16, 14, 16, 9, 11, 13, 19, 15]","[12, 13, 19, 10, 17, 15, 19, 15, 12]","[95, 87, 79, 87, 84, 84, 87, 92, 80]",9,263,257,123,132,13,UK
3,"[0, 0, 0, 1, 0, 2, 0, 2, 1]",79,"[39, 39, 33, 20, 36, 21, 33, 22, 20]","[23, 25, 29, 38, 19, 29, 28, 23, 43]","[18, 11, 9, 14, 15, 16, 13, 17, 10]","[9, 14, 20, 10, 17, 19, 10, 19, 14]","[89, 89, 91, 82, 87, 85, 84, 81, 87]",12,263,257,123,132,13,UK
4,"[0, 0, 0, 1, 1, 2, 2, 2, 1]",115,"[39, 43, 39, 19, 33, 21, 29, 18, 22]","[23, 18, 21, 40, 33, 26, 23, 30, 43]","[13, 11, 13, 15, 6, 19, 20, 14, 12]","[11, 19, 14, 14, 14, 14, 12, 20, 14]","[86, 91, 87, 88, 86, 80, 84, 82, 91]",21,263,257,123,132,13,UK
5,"[0, 0, 2, 1, 2, 2, 1, 1, 1]",102,"[45, 48, 16, 31, 32, 20, 26, 22, 23]","[21, 18, 26, 38, 22, 27, 29, 32, 44]","[11, 13, 20, 9, 15, 24, 7, 13, 11]","[16, 11, 19, 13, 18, 15, 19, 6, 15]","[93, 90, 81, 91, 87, 86, 81, 73, 93]",16,263,257,123,132,13,UK
6,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",112,"[49, 49, 30, 25, 26, 19, 25, 20, 20]","[22, 29, 20, 41, 22, 23, 36, 26, 38]","[8, 7, 7, 10, 18, 26, 16, 19, 12]","[12, 12, 28, 12, 17, 16, 10, 13, 12]","[91, 97, 85, 88, 83, 84, 87, 78, 82]",21,263,257,123,132,13,UK
7,"[0, 0, 2, 1, 1, 2, 1, 1, 1]",134,"[52, 52, 27, 21, 23, 17, 26, 27, 18]","[21, 13, 24, 45, 30, 23, 34, 30, 37]","[10, 13, 15, 7, 17, 19, 16, 13, 13]","[9, 13, 18, 16, 13, 16, 13, 15, 19]","[92, 91, 84, 89, 83, 75, 89, 85, 87]",32,263,257,123,132,13,UK
8,"[0, 0, 2, 1, 1, 2, 1, 2, 1]",162,"[55, 54, 26, 22, 21, 23, 19, 19, 24]","[15, 11, 22, 37, 33, 21, 43, 31, 44]","[12, 16, 14, 12, 15, 17, 10, 21, 6]","[10, 14, 14, 16, 11, 17, 17, 18, 15]","[92, 95, 76, 87, 80, 78, 89, 89, 89]",36,263,257,123,132,13,UK
9,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",193,"[56, 54, 30, 23, 23, 23, 18, 15, 21]","[16, 18, 18, 38, 26, 21, 45, 20, 55]","[10, 8, 16, 10, 14, 20, 16, 20, 9]","[13, 16, 16, 14, 13, 21, 16, 15, 8]","[95, 96, 80, 85, 76, 85, 95, 70, 93]",50,263,257,123,132,13,UK
10,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",192,"[61, 56, 25, 33, 14, 16, 18, 25, 15]","[6, 17, 16, 44, 28, 30, 43, 22, 51]","[15, 3, 20, 7, 17, 21, 12, 16, 12]","[8, 10, 23, 8, 18, 21, 12, 17, 15]","[90, 86, 84, 92, 77, 88, 85, 80, 93]",46,263,257,123,132,13,UK
11,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",206,"[64, 55, 31, 22, 14, 18, 20, 22, 17]","[16, 18, 13, 45, 30, 18, 46, 18, 53]","[9, 11, 15, 6, 12, 19, 13, 20, 18]","[9, 14, 26, 14, 25, 10, 8, 14, 12]","[98, 98, 85, 87, 81, 65, 87, 74, 100]",48,263,257,123,132,13,UK
12,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",226,"[67, 54, 23, 19, 18, 19, 25, 25, 13]","[14, 12, 19, 45, 27, 20, 51, 16, 53]","[8, 10, 17, 9, 12, 20, 12, 24, 11]","[13, 13, 18, 9, 23, 20, 9, 18, 9]","[102, 89, 77, 82, 80, 79, 97, 83, 86]",84,263,257,123,132,13,UK
13,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",239,"[75, 64, 21, 21, 16, 19, 14, 19, 14]","[8, 15, 27, 46, 17, 17, 50, 17, 60]","[4, 12, 18, 8, 18, 21, 12, 22, 8]","[9, 9, 13, 16, 27, 18, 13, 16, 11]","[96, 100, 79, 91, 78, 75, 89, 74, 93]",60,263,257,123,132,13,UK
14,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",241,"[75, 67, 17, 15, 25, 22, 10, 18, 14]","[10, 8, 27, 57, 19, 16, 54, 13, 53]","[9, 7, 14, 13, 11, 22, 13, 21, 13]","[6, 12, 16, 10, 20, 19, 15, 24, 10]","[100, 94, 74, 95, 75, 79, 92, 76, 90]",73,263,257,123,132,13,UK
15,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",264,"[81, 69, 23, 14, 12, 20, 15, 17, 12]","[10, 15, 11, 48, 21, 20, 54, 21, 57]","[8, 10, 22, 10, 19, 19, 7, 15, 13]","[4, 13, 16, 15, 21, 18, 11, 20, 14]","[103, 107, 72, 87, 73, 77, 87, 73, 96]",84,263,257,123,132,13,UK
16,"[0, 0, 2, 1, 2, 2, 1, 0, 1]",276,"[80, 72, 12, 13, 10, 19, 14, 34, 9]","[11, 5, 17, 56, 26, 19, 56, 12, 55]","[4, 9, 29, 11, 14, 23, 11, 13, 9]","[7, 8, 22, 10, 17, 26, 15, 11, 16]","[102, 94, 80, 90, 67, 87, 96, 70, 89]",112,263,257,123,132,13,UK
17,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",310,"[80, 76, 18, 10, 24, 8, 16, 23, 8]","[6, 8, 14, 62, 14, 19, 58, 17, 59]","[7, 9, 16, 10, 19, 28, 9, 15, 10]","[7, 7, 25, 13, 20, 24, 10, 17, 9]","[100, 100, 73, 95, 77, 79, 93, 72, 86]",134,263,257,123,132,13,UK
18,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",320,"[89, 75, 20, 12, 17, 8, 14, 17, 11]","[5, 12, 15, 57, 17, 25, 54, 20, 52]","[7, 7, 21, 11, 14, 17, 11, 19, 16]","[5, 8, 22, 14, 15, 23, 8, 22, 15]","[106, 102, 78, 94, 63, 73, 87, 78, 94]",165,263,257,123,132,13,UK
19,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",316,"[92, 67, 14, 10, 15, 25, 15, 13, 12]","[6, 13, 22, 62, 14, 14, 51, 17, 58]","[5, 11, 23, 8, 13, 19, 10, 18, 16]","[3, 9, 11, 11, 29, 20, 16, 27, 6]","[106, 100, 70, 91, 71, 78, 92, 75, 92]",147,263,257,123,132,13,UK
20,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",328,"[93, 72, 14, 11, 15, 18, 10, 19, 11]","[5, 14, 20, 62, 13, 13, 51, 17, 62]","[8, 5, 24, 9, 27, 5, 19, 16, 10]","[5, 6, 17, 9, 25, 32, 13, 14, 11]","[111, 97, 75, 91, 80, 68, 93, 66, 94]",165,263,257,123,132,13,UK
21,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",361,"[91, 77, 20, 7, 13, 16, 7, 23, 9]","[5, 11, 17, 62, 9, 15, 54, 17, 67]","[5, 7, 28, 15, 22, 9, 12, 17, 8]","[6, 5, 13, 8, 25, 36, 12, 16, 11]","[107, 100, 78, 92, 69, 76, 85, 73, 95]",169,263,257,123,132,13,UK
22,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",372,"[98, 78, 15, 10, 19, 19, 8, 9, 7]","[5, 7, 17, 62, 10, 17, 50, 20, 69]","[6, 6, 27, 8, 26, 17, 7, 19, 7]","[3, 10, 12, 10, 23, 30, 15, 19, 10]","[112, 101, 71, 90, 78, 83, 80, 67, 93]",184,263,257,123,132,13,UK
23,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",372,"[97, 76, 12, 12, 13, 13, 14, 17, 9]","[4, 10, 14, 64, 16, 13, 57, 15, 64]","[4, 9, 34, 7, 23, 10, 9, 20, 7]","[4, 6, 16, 10, 24, 28, 9, 26, 9]","[109, 101, 76, 93, 76, 64, 89, 78, 89]",206,263,257,123,132,13,UK
24,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",386,"[100, 77, 19, 7, 15, 8, 14, 10, 13]","[4, 9, 10, 65, 15, 14, 52, 21, 67]","[4, 6, 34, 3, 25, 13, 11, 18, 9]","[3, 9, 20, 10, 19, 27, 11, 27, 6]","[111, 101, 83, 85, 74, 62, 88, 76, 95]",209,263,257,123,132,13,UK
25,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",396,"[100, 79, 8, 6, 18, 15, 9, 19, 9]","[2, 6, 12, 71, 16, 12, 55, 14, 69]","[1, 3, 28, 10, 21, 15, 10, 22, 13]","[4, 7, 28, 8, 18, 31, 9, 18, 9]","[107, 95, 76, 95, 73, 73, 83, 73, 100]",227,263,257,123,132,13,UK
26,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",398,"[99, 81, 14, 8, 12, 15, 7, 20, 7]","[4, 8, 9, 68, 18, 12, 54, 15, 69]","[5, 5, 33, 6, 25, 13, 10, 16, 10]","[6, 5, 28, 7, 13, 33, 12, 21, 7]","[114, 99, 84, 89, 68, 73, 83, 72, 93]",227,263,257,123,132,13,UK
27,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",414,"[100, 86, 8, 8, 16, 15, 8, 14, 8]","[3, 2, 15, 66, 18, 10, 55, 14, 74]","[1, 6, 31, 12, 26, 18, 9, 15, 5]","[3, 5, 25, 9, 21, 31, 6, 29, 3]","[107, 99, 79, 95, 81, 74, 78, 72, 90]",224,263,257,123,132,13,UK
28,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",414,"[104, 92, 11, 9, 9, 12, 13, 7, 6]","[4, 5, 10, 65, 11, 16, 55, 16, 75]","[3, 6, 31, 9, 24, 15, 13, 16, 6]","[4, 5, 25, 9, 16, 38, 6, 20, 9]","[115, 108, 77, 92, 60, 81, 87, 59, 96]",240,263,257,123,132,13,UK
29,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",429,"[103, 89, 8, 11, 18, 10, 9, 9, 6]","[3, 2, 14, 69, 10, 7, 53, 22, 77]","[4, 5, 33, 7, 24, 22, 8, 13, 7]","[4, 7, 22, 8, 22, 36, 8, 16, 9]","[114, 103, 77, 95, 74, 75, 78, 60, 99]",240,263,257,123,132,13,UK
30,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",434,"[101, 90, 5, 9, 14, 13, 12, 13, 6]","[4, 1, 9, 70, 14, 10, 57, 15, 77]","[2, 4, 37, 7, 23, 13, 13, 14, 10]","[3, 8, 25, 9, 18, 38, 11, 17, 3]","[110, 103, 76, 95, 69, 74, 93, 59, 96]",286,263,257,123,132,13,UK
31,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",433,"[101, 90, 7, 8, 18, 19, 6, 13, 1]","[4, 5, 8, 65, 9, 7, 60, 18, 81]","[2, 4, 37, 7, 19, 15, 13, 20, 6]","[2, 5, 26, 12, 15, 38, 12, 14, 8]","[109, 104, 78, 92, 61, 79, 91, 65, 96]",260,263,257,123,132,13,UK
32,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",424,"[99, 88, 14, 2, 16, 13, 7, 16, 8]","[1, 4, 12, 67, 11, 8, 61, 12, 81]","[4, 7, 31, 10, 16, 18, 11, 22, 4]","[9, 4, 18, 9, 21, 40, 11, 14, 6]","[113, 103, 75, 88, 64, 79, 90, 64, 99]",261,263,257,123,132,13,UK
33,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",429,"[101, 92, 10, 5, 15, 12, 8, 12, 8]","[2, 2, 14, 68, 11, 7, 59, 15, 79]","[3, 4, 27, 11, 28, 13, 9, 17, 11]","[4, 11, 20, 14, 14, 46, 9, 13, 1]","[110, 109, 71, 98, 68, 78, 85, 57, 99]",277,263,257,123,132,13,UK
34,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",439,"[100, 89, 11, 11, 13, 10, 10, 15, 4]","[1, 2, 11, 68, 14, 8, 61, 13, 79]","[4, 6, 28, 9, 28, 15, 6, 20, 7]","[3, 7, 19, 4, 21, 40, 10, 20, 8]","[108, 104, 69, 92, 76, 73, 87, 68, 98]",270,263,257,123,132,13,UK
35,"[0, 0, 2, 1, 2, 2, 1, 2, 1]",448,"[103, 88, 14, 16, 12, 7, 10, 9, 4]","[3, 1, 14, 65, 7, 11, 61, 14, 81]","[5, 9, 29, 10, 28, 14, 10, 13, 5]","[2, 6, 17, 6, 17, 45, 7, 25, 7]","[113, 104, 74, 97, 64, 77, 88, 61, 97]",292,263,257,123,132,13,UK
